Annual Income (k$),Spending Score (1-100)
38,35
39,36
43,41
54,41
49,42
61,42
54,42
67,43
65,43
63,43
54,44
43,45
54,46
58,46
46,46
63,46
44,46
60,47
54,47
62,48
63,48
48,48
60,49
50,49
48,50
44,50
63,50
54,51
48,51
42,52
63,52
47,52
54,53
40,55
59,55
49,55
62,56
50,56
46,56
67,57
57,58
65,59
47,59
62,59
43,60
87,63
101,68
88,69
103,69
72,71
74,72
78,73
73,73
77,74
126,74
87,75
85,75
71,75
71,75
78,76
70,77
78,78
120,79
79,83
137,83
103,85
88,86
97,86
76,87
73,88
98,88
78,88
78,89
78,90
93,90
113,91
69,91
87,92
81,93
75,93
86,95
71,95
77,97
99,97
78,1
78,1
81,5
73,5
75,5
73,7
113,8
71,9
74,10
87,10
71,11
77,12
87,13
88,13
93,14
98,15
88,15
78,16
120,16
103,17
78,17
137,18
86,20
78,20
78,22
103,23
101,24
85,26
87,27
126,28
97,32
71,35
79,35
77,36
99,39
28,61
39,65
21,66
19,72
30,73
24,73
34,73
25,73
37,75
17,76
16,77
20,77
20,79
15,81
33,81
28,82
29,87
33,92
38,92
18,94
23,98
19,99
19,3
33,4
30,4
25,5
16,6
18,6
20,13
33,14
28,14
19,14
20,15
34,17
37,26
39,28
23,29
29,31
28,32
21,35
24,35
15,39
17,40
70,29
72,34
76,40
67,40
60,40
59,41
62,41
62,42
40,42
40,42
60,42
64,42
64,46
40,47
48,47
65,48
54,48
61,49
65,50
60,50
46,51
54,52
60,52
63,54
54,54
43,54
46,55
57,55
62,55
54,55
67,56
54,57
69,58
48,59
48,59
42,60
58,60
39,61
